file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0005_0162_1121672_to_1129131,ནང་གི་ཆོས་རེད། ང་ཚོ། ང་མ་གི་བོད་ཀི་གྲོས་ཚོགས་དང་སྲིད་བྱུས་ཉམས་ཞིབ་ཁང་གི་འགན་འཛིན་ཆགས་ཚར་ཙི་རེད། ཨཱཅཱརྱཱ་ཡེ་ཤེས་ཕུན་ཚོགས་ད་ང་། ང་འགན་འཛིན་ཆགས་ནས་གཉིས་གསུམ་འགྲོ་གི་ཡོད་ཀྱི་རེད། གཉིས་ཙི་ ,nang gi chos red/_nga tsho/_nga ma gi bod ki gros tshogs dang srid byus nyams zhib khang gi 'gan 'dzin chags tshar tsi red/_AcAr+yA ye shes phun tshogs da nga /_nga 'gan 'dzin chags nas gnyis gsum 'gro gi yod kyi red/_gnyis tsi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0005_0162_1121672_to_1129131.wav,STT_PC,3,184,7.459,wav16k/STT_PC0005_0162_1121672_to_1129131.wav,གནང་རྒྱོད་ཅིག་ཡོད་རེད། ང་ཚོ་ང་མ་གི་བོད་ཀི་གྲོས་ཚོགས་དང་སྲིད་ཇུས་ཉམས་ཞིབ་ཁང་གི་འགན་འཛིན་ཆགས་ཚར་ཙི་རེད། ཨ་ཅག་ར་ཡ་ཡེ་ཤེས་ཁོང་ཚོ། ད་ང་རྒལ་འཛིན་ཆགས་ནས་ལོ་གཉིས་གསུམ་འགྲོ་གི་ཡོད་རཀྱི་རེད། གཉིས་སི།
STT_PC0004_0057_350974_to_354349,ག་བར་ཕེབས་པ་ཡིན་ན་ཆིབས་ཁ་བསྒྱུར་བ་རེད་ཟེར་བཤད་ཀི་འདུག་ག ,ga bar phebs pa yin na chibs kha bsgyur ba red zer bshad ki 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0004_0057_350974_to_354349.wav,STT_PC,3,56,3.375,wav16k/STT_PC0004_0057_350974_to_354349.wav,ག་བར་ཕེབས་པ་ཡིན་ན། ཆིབས་ཀ་སྒྱུར་བ་རེད་ཟེ་བཤད་ཀི་འདུག་ག།
STT_PC0004_0062_399270_to_405008,ཨེ་ནས་ཚུར་སླེབས་ནས་ད་ཁོང་ཚོ་ཕེབས་བྱས། ད་ང་ཚོ་ཕྱི་པོ་ཕྱི་པོ་རེད་ཉལ་པ་རེད། སང་ཉིན་ཞོགས་ཀའི་དེར།  ,e nas tshur slebs nas da khong tsho phebs byas/_da nga tsho phyi po phyi po red nyal pa red/_sang nyin zhogs ka'i der/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0004_0062_399270_to_405008.wav,STT_PC,3,95,5.738,wav16k/STT_PC0004_0062_399270_to_405008.wav,ཨེ་ནས་ཚུར་སླེབས་ནས་ད་ཁོ་ཚོ་ཕེབས་བྱས། ཨེ་ནས་ང་ཚོ་ཕྱི་པ་ཕྱི་པོ་རེ་ཉལ་པ་རེད། སང་ཉིན་ཞོགས་ཀའ་དེར།
STT_PC0047_0048_384283_to_387227,ཨེ་ནས་གཏོར་བཤིག་བཏང་བའི་བྱ་སྤྱོད་བརྩམས་ཤག་བྱས་བྱས། མི་ཉི་ཤུ་རྩ་བཞི་ལ་ཡ།  ,e nas gtor bshig btang ba'i bya spyod brtsams shag byas byas/_mi nyi shu rtsa bzhi la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0047_0048_384283_to_387227.wav,STT_PC,3,73,2.944,wav16k/STT_PC0047_0048_384283_to_387227.wav,ཨེ་ནས་གཏོར་བཤིག་བཏང་བའི་བྱ་སྤྱོད་བརྩམས་ཤག་ཟེ་བྱས་བྱས། མི་ཉི་ཤུ་རྩ་བཞི་ལ་ཡ་
STT_PC0004_0063_412281_to_420229,སྐུ་ངོ་དེ་ཞབས་ཕྱི་གཅིག་ཡོད་རེད། དཔལ་ལྡན་ལགས་ཞུ་མྱི་ཅིག དེ་ང་ཚོ་འདྲིས་པོ་ཡོད། དེ་བཏང་གནང་བཞག་ངའི་རྩ་ལ་ཡར་ ,sku ngo de zhabs phyi gcig yod red/_dpal ldan lags zhu myi cig_de nga tsho 'dris po yod/_de btang gnang bzhag nga'i rtsa la yar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0004_0063_412281_to_420229.wav,STT_PC,3,105,7.948,wav16k/STT_PC0004_0063_412281_to_420229.wav,སྐུ་ངོ་དེ་ཞབས་ཕྱི་ཅིག་ཡོད་རེད། དཔལ་ལྡན་ལགས་ཞུ་མྱི་ཅིག ཨུམ་ཧུམ། དེ་ང་ཚོ་འདྲིལ་པོ་ཡོད། དེ་བཏང་གནང་ཤག་ཉེས་རྩར་ལ་ཡ།
STT_PC0047_0053_437019_to_440699,ད་ཡིན་ན་ཡང་ག་རེ་རེད་ཟེར་ན། དེའི་ནང་ལ་ཡ་ནམ་རྒྱུན་ད་མ་འདྲ་ཅིག་ལ་ག་རེ་བྱུང་ཡོད་རེད་ཟེར་ན།  ,da yin na yang ga re red zer na/_de'i nang la ya nam rgyun da ma 'dra cig la ga re byung yod red zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0047_0053_437019_to_440699.wav,STT_PC,3,88,3.68,wav16k/STT_PC0047_0053_437019_to_440699.wav,ད་ཡིན་ན་ཡང་ག་རེ་རེད་ཟེར་ན། དེའི་ནང་ལ་ཡ་ནམ་རྒྱུན་དང་མ་འདྲ་བ་ཅིག་ལ་ག་རེ་བྱུང་ཡོད་རེད་ཟེར་ན།
STT_PC0047_0056_451419_to_453531,འདི་བྱེད་ཟོལ་བྱས། ཨེ་ནས་མདུན་དེར་པར་གཅིག་གཉིས་བརྒྱབ་བྱས་ ,'di byed zol byas/_e nas mdun der par gcig gnyis brgyab byas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0047_0056_451419_to_453531.wav,STT_PC,3,57,2.112,wav16k/STT_PC0047_0056_451419_to_453531.wav,འདི་བྱེ་སྲོལ་བྱས། ཨེ་ནས་མདུན་དེར་པར་གཅིག་གཉིས་ཅིག་བརྒྱབ་བྱས།
STT_NS_M0298_0027_525727_to_528339,བརྙན་ཐུང་དེ་ཚོ་ཡག་པོ་ཡོད་བྱས་ན་ཨེ་ནས་ང་རང་འགྲིག་ཤག་ལབ་ནས།  ,brnyan thung de tsho yag po yod byas na e nas nga rang 'grig shag lab nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0298_0027_525727_to_528339.wav,STT_NS,3,59,2.612,wav16k/STT_NS_M0298_0027_525727_to_528339.wav,བརྙན་ཐུང་དེ་ཚོ་ཡག་པོ་ཡོད་བྱས་ན་ཨེ་ནས་ང་རང་འགྲིག་ཤག་ལབ་ནས།
STT_MV0068_0225_1468111_to_1470135,ང་གཞུང་དོན་བསྒྲུབ་ཡ་ཡོད། རྒྱུན་རིང་པོ་བསྡད་ཡ་མེད།  ,nga gzhung don bsgrub ya yod/_rgyun ring po bsdad ya med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0068_0225_1468111_to_1470135.wav,STT_MV,3,51,2.024,wav16k/STT_MV0068_0225_1468111_to_1470135.wav,ང་གཞུང་དོན་སྒྲུབ་ཡ་ཡོད། རྒྱུན་རིང་པོ་བསྡད་ཡ་མེད།
STT_MV0068_0226_1470135_to_1471240,བཀའ་མོལ་ཞུས་ཚར་སོང་ན།  ,bka' mol zhus tshar song na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0068_0226_1470135_to_1471240.wav,STT_MV,3,23,1.105,wav16k/STT_MV0068_0226_1470135_to_1471240.wav,བཀའ་མོལ་ཞུས་ཚར་སོང་ན།
STT_PC0047_0041_305851_to_308347,ཨེ་ནས་ཉེན་ཁ་དེ་ལ་ཡ་ག་འདྲས་སེ་བྱས་གདོང་ལེན་བྱེད་ཀ་ཟེར་ཡ་འདི་རེད་ ,e nas nyen kha de la ya ga 'dras se byas gdong len byed ka zer ya 'di red _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0047_0041_305851_to_308347.wav,STT_PC,3,64,2.496,wav16k/STT_PC0047_0041_305851_to_308347.wav,ཨེ་ནས་ཉེན་ཁ་དེ་ལ་ཡ་ག་འདྲས་སེ་བྱས་གདོང་ལེན་བྱེད་ཀ་ཟེར་ཡ་འདི་རེད།
STT_MV0267_0023_154011_to_160356,ང་དང་ཡང་བློ་ཁོག་འབྲེལ་བ་ག་གེ་ཞིག་མེད། ངས་ཇོ་ཇོ་བྱེད་རོགས་ལབ་པས་ནི། མི་དགོས་ཟེར་གིས། དེ་འདྲས་སུས་མོས་མཐུན་བྱེད་ཀི་རེད།  ,nga dang yang blo khog 'brel ba ga ge zhig med/_ngas jo jo byed rogs lab pas ni/_mi dgos zer gis/_de 'dras sus mos mthun byed ki red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0267_0023_154011_to_160356.wav,STT_MV,3,119,6.345,wav16k/STT_MV0267_0023_154011_to_160356.wav,ང་དང་ཡང་བློ་ཁོག་འབྲེལ་བ་ག་གེ་གཅིག་མེད། ངས་ཇོ་ཇོ་བྱེད་རོགས་ལབ་ཡ་ན། མི་དགོས་ཟེར་གིས། དེ་འདྲས་སུས་མོས་མཐུན་བྱེད་ཀི་རེད།
STT_MV0068_0227_1471240_to_1476222,ལམ་སང་འགྲོ་གི་ཡིན། ཨ་ཙི་མར་བཞུགས་ད་མར་བཞུགས་ད། ཁྱེད་རང་ཐུགས་འཁྲལ་གནང་ཡ་ག་རེ་འདུག ,lam sang 'gro gi yin/_a tsi mar bzhugs da mar bzhugs da/_khyed rang thugs 'khral gnang ya ga re 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0068_0227_1471240_to_1476222.wav,STT_MV,3,81,4.982,wav16k/STT_MV0068_0227_1471240_to_1476222.wav,ལམ་སང་འགྲོ་གི་ཡིན། ཨ་ཙི་ མར་བཞུགས་ད། མར་བཞུགས་ད། ཁྱེད་རང་ཐུགས་ཁྲལ་གནང་ཡ་ག་རེ་འདུག
STT_PC0005_0149_1040234_to_1045971,ཨེ་ནས་ཉིས་སྟོང་གཅིག་བར་དུ་ཞེ་བོ་ཞེ་བོ་ཤེས་ཀི་ཡོད་མ་རེད། ད་ང་རང་གིས་ཤེས་པ་དེ་ངའི་རྩིས་དང་དཔལ་འབྱོར་གི་འགྲོ་སྟངས་དེ་རེད། དེ་ཡིན་དུས་ངས་ ,e nas nyis stong gcig bar du zhe bo zhe bo shes ki yod ma red/_da nga rang gis shes pa de nga'i rtsis dang dpal 'byor gi 'gro stangs de red/_de yin dus ngas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0005_0149_1040234_to_1045971.wav,STT_PC,3,134,5.737,wav16k/STT_PC0005_0149_1040234_to_1045971.wav,ཨེ་ནས་ཉིས་སྟོང་གཅིག་བར་དུ་ཞེ་བོ་ཞེ་བོ་ཤེས་ཀི་ཡོད་མ་རེད། ད་ང་རང་གིས་ཤེས་པ་དེ་ངའི་ཚིག་དང་དཔལ་འབྱོར་གི་འགྲོ་སྟངས་དེ་རེད། དེ་ཡིན་དུས་ངས།
STT_MV0267_0040_245112_to_249636,སྐད་ཆ་ཞིག་འདྲི་ཡ་ཡོད།  ,skad cha zhig 'dri ya yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0267_0040_245112_to_249636.wav,STT_MV,3,23,4.524,wav16k/STT_MV0267_0040_245112_to_249636.wav,སྐད་ཆ་གཅིག་འདྲི་ཡ་ཡོད།
STT_PC0047_0078_643035_to_645595,ཨེ། གཞུག་གུ་གཞུག་གུ་ལ་ཡ་དེ། ད་དེ་འདྲས་སྣ་ཚོགས་གཅིག་གི་ཐོག་ནས་ ,e/_gzhug gu gzhug gu la ya de/_da de 'dras sna tshogs gcig gi thog nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0047_0078_643035_to_645595.wav,STT_PC,3,62,2.56,wav16k/STT_PC0047_0078_643035_to_645595.wav,གཞུག་གུ་གཞུག་གུ་ལ་ཡ་སྒྲིག ད་དེ་འདྲས་སྣ་ཚོགས་ཅིག་གི་ཐོག་ནས་
STT_AB00266_0092_708148_to_717005,ངོ་ཚ་ཏོག་སེ་བྱེད་དགོས་རེད། ད་ལོ་མོས་ལས་ཀ་ག་ཚོད་བྱས་མ་སོང་ཞེས་སྨྲས་ཏེ་མཚམས་གཅོད་ལ་རྒྱབ་སྐྱོར་བྱས་ཀྱང་། མཚམས་གཅོད་ནི་ཅི་ཡང་མི་སྨྲ་བར་ཐུག་པ་འཐུང་བཞིན་ཡོད།  ,ngo tsha tog se byed dgos red/_da lo mos las ka ga tshod byas ma song zhes smras te mtshams gcod la rgyab skyor byas kyang /_mtshams gcod ni ci yang mi smra bar thug pa 'thung bzhin yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00266_0092_708148_to_717005.wav,STT_AB,3,153,8.857,wav16k/STT_AB00266_0092_708148_to_717005.wav,ངོ་ཚ་ཏོག་ཙི་བྱེད་དགོས་རེད། ད་ལོ་མོས་ལས་ག་ཚོད་བྱས་མ་སོང་ཞེས་སྨྲས་ཏེ་མཚམས་གཅོད་ལ་རྒྱབ་སྐྱོར་བྱས་ཀྱང་མཚམས་གཅོད་ནི་ཅི་ཡང་མི་སྨྲ་བར་ཐུག་པ་འཐུང་བཞིན་ཡོད།
STT_MV0068_0236_1533650_to_1540711,ངས་ཞུ་བ་འཐེན་ཆོག ང་མཉམ་དུ་ལོག་ཐེད་དོ་ ཐུ་འེ ཁྱོད་རང་མཉམ་དུ་ལོག་འགྲོ་ཨེ། རེ་བ་སྟོང་པ་མ་རྒྱག ,ngas zhu ba 'then chog_nga mnyam du log thed do _thu 'e_khyod rang mnyam du log 'gro e/_re ba stong pa ma rgyag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0068_0236_1533650_to_1540711.wav,STT_MV,3,91,7.061,wav16k/STT_MV0068_0236_1533650_to_1540711.wav,ངས་ཞུ་བ་འཐེན་ཆོག ང་མཉམ་དུ་ལོག་ཐེད་དོ། ཐེུ། ཁྱོད་རང་མཉམ་དུ་ལོག་འགྲོ་ཨེ། རེ་བ་སྟོང་པ་མ་རྒྱབ།
STT_AB00266_0174_1271732_to_1282289,དེ་ནས་ནང་མི་ཚང་མ་དགུ་ཐུག་བཏུང་པ་དང་། བག་ཐུག་ནང་གི་རྫས་ལ་དཔྱད་རེས་བྱས། སྐབས་དེར་ས་རུབ་པ་དང་གློག་ཕྲ་ལྷེམ་མེར་འབར་བས་ཚེ་བརྟེན་ལྷ་མོས་ད་ལོ་དགུ་ཐུག་སྐབས་ལ་ཡ་ ,de nas nang mi tshang ma dgu thug btung pa dang /_bag thug nang gi rdzas la dpyad res byas/_skabs der sa rub pa dang glog phra lhem mer 'bar bas tshe brten lha mos da lo dgu thug skabs la ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00266_0174_1271732_to_1282289.wav,STT_AB,3,153,10.557,wav16k/STT_AB00266_0174_1271732_to_1282289.wav,དེ་ནས་ནང་མི་ཚང་མ་དགུ་ཐུག་བཏུངས་པ་དང་བག་ཐུག་ནང་གི་རྫས་ལ་ལཅས་ལེང་བྱས། སྐབས་དེར་ས་རུབ་པ་དང་གློག་ཁྲ་ལྷེམ་མེར་འབར་བས་ཚེ་བརྟན་ལྷ་མོས་ད་ལོ་དགུ་ཐུག་སྐབས་ལ་ཡ་
STT_PC0047_0062_479835_to_481851,ཡང་ཅན་གྲིས་ཀིས་བཤད་ཐེངས་གཅིག་ལ་ཡ་ཨེ་ནས་ ,yang can gris kis bshad thengs gcig la ya e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0047_0062_479835_to_481851.wav,STT_PC,3,40,2.016,wav16k/STT_PC0047_0062_479835_to_481851.wav,ཡཱང་ཅེ་གྲིས་ཀི་བཤད་ཐེངས་གཅིག་ལ་ཡ་ཨེ་ནས་
